timestamp,version,input_set,population,bits,generations,mutation_rate,seed,threads,run,elapsed_seconds,best_fitness
2026-09-09T14:20:20-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,3,3.325490,1575
2026-09-09T14:20:23-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,4,3.324453,1575
2026-09-09T14:20:27-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,5,3.367359,1575
2026-09-09T14:20:30-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,6,3.462442,1575
2026-09-09T14:20:34-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,7,3.423665,1575
2026-09-09T14:20:37-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,8,3.521395,1575
2026-09-09T14:20:41-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,9,3.548534,1575
2026-09-09T14:20:44-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,10,3.390123,1575
2026-09-09T14:20:46-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,1,1.759070,1575
2026-09-09T14:20:48-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,2,1.761572,1575
2026-09-09T14:20:49-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,3,1.754682,1575
2026-09-09T14:20:51-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,4,1.746801,1575
2026-09-09T14:20:53-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,5,1.749085,1575
2026-09-09T14:20:55-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,6,1.742130,1575
2026-09-09T14:20:56-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,7,1.742317,1575
2026-09-09T14:20:58-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,8,1.795708,1575
2026-09-09T14:21:00-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,9,1.750961,1575
2026-09-09T14:21:02-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,10,1.770908,1575
2026-09-09T14:21:03-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,1,1.556392,1575
2026-09-09T14:21:05-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,2,1.582175,1575
2026-09-09T14:21:06-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,3,1.564902,1575
2026-09-09T14:21:08-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,4,1.574933,1575
2026-09-09T14:21:10-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,5,1.586427,1575
2026-09-09T14:21:11-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,6,1.576753,1575
2026-09-09T14:21:13-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,7,1.560401,1575
2026-09-09T14:21:14-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,8,1.567788,1575
2026-09-09T14:21:16-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,9,1.562908,1575
2026-09-09T14:21:18-03:00,paralelizado,grande,4000,2000,100,0.0005,42,4,10,1.575105,1575
2026-09-09T14:21:19-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,1,0.932538,1575
2026-09-09T14:21:19-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,2,0.941116,1575
2026-09-09T14:21:20-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,3,0.922298,1575
2026-09-09T14:21:21-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,4,0.920063,1575
2026-09-09T14:21:22-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,5,0.955382,1575
2026-09-09T14:21:23-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,6,0.935476,1575
2026-09-09T14:21:24-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,7,0.929754,1575
2026-09-09T14:21:25-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,8,0.927815,1575
2026-09-09T14:21:26-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,9,0.961377,1575
2026-09-09T14:21:27-03:00,paralelizado,grande,4000,2000,100,0.0005,42,8,10,0.988733,1575
